# BEGIN YODA_HISTO1D /MC/untitled
Path=/MC/untitled
ScaledBy=1.0
Title=
Type=Histo1D
# ID	ID	sumw	sumw2	sumwx	sumwx2	numEntries
Total	Total	9.878426e+03	1.258160e+04	8.238796e+07	1.047867e+08	20000
Underflow	Underflow	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0
Overflow	Overflow	1.461942e+01	1.174601e+00	1.422252e+05	1.142748e+04	217
# xlow	xhigh	sumw	sumw2	sumwx	sumwx2	numEntries
7.005690e+03	7.033050e+03	1.097057e+01	6.577184e-01	7.700313e+04	4.616823e+03	197
7.033050e+03	7.060410e+03	1.113806e+01	6.859021e-01	7.848102e+04	4.833154e+03	194
7.060410e+03	7.087770e+03	1.230588e+01	8.004516e-01	8.705866e+04	5.663073e+03	202
7.087770e+03	7.115130e+03	1.293442e+01	8.645305e-01	9.185337e+04	6.139540e+03	207
7.115130e+03	7.142490e+03	1.450683e+01	1.024103e+00	1.034130e+05	7.300624e+03	219
7.142490e+03	7.169850e+03	1.382045e+01	1.026921e+00	9.890055e+04	7.348903e+03	198
7.169850e+03	7.197210e+03	1.533945e+01	1.190857e+00	1.102042e+05	8.555742e+03	209
7.197210e+03	7.224570e+03	1.523268e+01	1.221872e+00	1.098443e+05	8.811451e+03	202
7.224570e+03	7.251930e+03	1.701510e+01	1.426152e+00	1.231592e+05	1.032304e+04	215
7.251930e+03	7.279290e+03	1.397023e+01	1.188685e+00	1.015046e+05	8.637001e+03	173
7.279290e+03	7.306650e+03	1.664337e+01	1.526059e+00	1.213887e+05	1.113076e+04	191
7.306650e+03	7.334010e+03	2.160244e+01	2.100218e+00	1.581426e+05	1.537516e+04	233
7.334010e+03	7.361370e+03	1.908119e+01	2.011493e+00	1.402004e+05	1.477961e+04	190
7.361370e+03	7.388730e+03	2.191550e+01	2.374423e+00	1.615815e+05	1.750610e+04	213
7.388730e+03	7.416090e+03	2.032087e+01	2.390419e+00	1.504297e+05	1.769641e+04	182
7.416090e+03	7.443450e+03	2.328272e+01	2.806347e+00	1.729886e+05	2.085131e+04	203
7.443450e+03	7.470810e+03	2.424847e+01	3.156442e+00	1.808346e+05	2.354000e+04	195
7.470810e+03	7.498170e+03	2.783832e+01	3.909276e+00	2.083643e+05	2.926015e+04	208
7.498170e+03	7.525530e+03	2.902924e+01	4.272605e+00	2.181021e+05	3.210152e+04	207
7.525530e+03	7.552890e+03	3.145248e+01	4.973033e+00	2.371634e+05	3.749982e+04	209
7.552890e+03	7.580250e+03	3.507271e+01	6.030376e+00	2.653957e+05	4.563352e+04	214
7.580250e+03	7.607610e+03	3.917598e+01	7.451142e+00	2.974910e+05	5.658451e+04	216
7.607610e+03	7.634970e+03	3.815270e+01	7.402641e+00	2.907599e+05	5.641568e+04	206
7.634970e+03	7.662330e+03	4.221317e+01	9.098008e+00	3.228607e+05	6.958778e+04	206
7.662330e+03	7.689690e+03	4.758575e+01	1.104528e+01	3.652747e+05	8.478601e+04	216
7.689690e+03	7.717050e+03	5.186686e+01	1.262742e+01	3.995556e+05	9.727982e+04	224
7.717050e+03	7.744410e+03	4.492613e+01	1.214943e+01	3.472905e+05	9.392191e+04	175
7.744410e+03	7.771770e+03	5.652920e+01	1.660061e+01	4.385562e+05	1.287905e+05	203
7.771770e+03	7.799130e+03	5.983852e+01	1.867036e+01	4.658682e+05	1.453602e+05	201
7.799130e+03	7.826490e+03	7.881856e+01	2.802230e+01	6.158070e+05	2.189472e+05	234
7.826490e+03	7.853850e+03	7.144536e+01	2.805683e+01	5.602069e+05	2.200043e+05	192
7.853850e+03	7.881210e+03	9.331323e+01	4.168607e+01	7.342405e+05	3.280238e+05	221
7.881210e+03	7.908570e+03	9.689249e+01	4.568606e+01	7.649659e+05	3.607058e+05	217
7.908570e+03	7.935930e+03	9.951408e+01	5.111250e+01	7.883976e+05	4.049396e+05	205
7.935930e+03	7.963290e+03	1.123536e+02	6.869657e+01	8.931914e+05	5.461559e+05	195
7.963290e+03	7.990650e+03	1.211427e+02	8.033019e+01	9.665193e+05	6.409551e+05	194
